Age,Avg Monthly GB Download,Avg Monthly Long Distance Charges,Churn,City,Contract,Country,Dependents,Device Protection Plan,Gender,Internet Service,Internet Type,Latitude,Longitude,Married,Monthly Charge,Multiple Lines,Number of Dependents,Number of Referrals,Offer,Online Backup,Online Security,Paperless Billing,Partner,Payment Method,Phone Service,Population,Premium Tech Support,Quarter,Referred a Friend,Satisfaction Score,Senior Citizen,State,Streaming Movies,Streaming Music,Streaming TV,Tenure in Months,Total Extra Data Charges,Total Long Distance Charges,Total Refunds,Under 30,Unlimited Data,Zip Code
72,4,19.44,0,San Mateo,Two Year,United States,0,1,Female,1,Fiber Optic,37.538309,-122.305109,1,88.4,0,0,1,,1,0,0,1,Bank Withdrawal,1,37926,0,Q3,1,3,1,California,1,1,0,25,0,486.0,0.0,0,1,94403
27,59,45.62,0,Sutter Creek,Month-to-Month,United States,0,1,Male,1,Fiber Optic,38.432145,-120.77069,0,95.5,1,0,0,,0,0,0,0,Bank Withdrawal,1,4610,1,Q3,0,3,0,California,0,0,1,35,0,1596.7,0.0,1,1,95685
59,0,16.07,0,Santa Cruz,Month-to-Month,United States,0,0,Male,0,,37.007882,-122.065975,1,19.6,0,0,3,,0,0,0,1,Bank Withdrawal,1,4563,0,Q3,1,5,0,California,0,0,0,46,0,739.22,0.0,0,0,95064
25,27,0.0,0,Brea,One Year,United States,0,1,Male,1,DSL,33.924143,-117.79387,1,45.85,0,0,3,,1,0,1,1,Credit Card,0,1408,0,Q3,1,4,0,California,1,1,0,27,30,0.0,0.0,1,0,92823
31,21,17.22,1,San Jose,One Year,United States,0,1,Male,1,Cable,37.311088,-121.961786,1,60.3,0,0,1,Offer B,1,1,0,1,Credit Card,1,29914,0,Q3,1,2,0,California,0,0,0,58,0,998.76,0.0,0,1,95117
32,30,11.94,1,Stockton,Month-to-Month,United States,0,1,Male,1,Cable,38.033219,-121.297433,0,100.95,1,0,0,Offer E,0,0,1,0,Bank Withdrawal,1,40611,0,Q3,0,1,0,California,1,1,1,3,10,35.82,0.0,0,0,95210
36,8,10.23,0,San Quentin,Month-to-Month,United States,0,0,Male,1,Fiber Optic,37.942551,-122.491642,1,89.25,0,0,2,,0,1,1,1,Bank Withdrawal,1,6448,1,Q3,1,3,0,California,1,1,0,24,0,245.52,0.0,0,1,94964
48,16,8.98,1,Mountain View,Month-to-Month,United States,0,1,Female,1,Fiber Optic,37.380662,-122.086022,1,100.55,1,0,3,Offer B,1,1,1,1,Bank Withdrawal,1,32143,0,Q3,1,2,0,California,0,0,1,63,0,565.74,0.0,0,0,94040
72,14,44.81,0,Somis,Two Year,United States,0,1,Female,1,Fiber Optic,34.297628,-119.014627,0,111.65,1,0,0,Offer A,1,0,0,0,Bank Withdrawal,1,2966,1,Q3,0,5,1,California,1,0,1,72,0,3226.32,0.0,0,1,93066
54,12,14.88,0,San Diego,Month-to-Month,United States,1,0,Male,1,DSL,32.957195,-117.202542,0,60.95,1,2,0,,1,1,0,0,Bank Withdrawal,1,28201,0,Q3,0,4,0,California,0,0,0,2,0,29.76,0.0,0,1,92130
